BUFFER_SIZE,LEAF_SIZE,NPROBES,SAX_CARDINALITY,INITIAL_LBL_SIZE,FLUSH_LIMIT
9531,20000,100,8,100000,1000000
9531,20000,100,4,100000,1000000
9531,10000,100,8,100000,1000000
9531,5000,100,8,100000,1000000
9531,5000,100,8,100000,1000000
9531,10000,100,16,100000,1000000
9531,5000,100,16,100000,1000000
9531,20000,100,16,100000,1000000
9531,10000,100,2,100000,1000000
9531,5000,100,2,100000,1000000
9531,20000,100,2,100000,1000000
9531,20000,500,8,100000,1000000
9531,10000,500,8,100000,1000000
9531,5000,500,8,100000,1000000
9531,5000,500,8,100000,1000000
9531,500,100,8,100000,1000000
9531,500,100,4,100000,1000000
9531,500,100,16,100000,1000000
9531,500,100,2,100000,1000000
9531,500,500,8,100000,1000000
